X,Y,Clase
95.3942,109.2058,0
95.9303,94.3288,0
83.2597,96.1606,0
120.0145,107.6346,0
118.6638,104.4802,0
107.1059,103.3359,0
70.0109,115.3945,0
109.1149,108.9787,0
69.5554,68.61,0
83.9869,91.5726,0
105.498,99.1736,0
109.3775,88.4398,0
105.5567,107.0948,0
88.0995,130.9155,0
110.019,121.5461,0
88.834,86.6887,0
93.8072,98.0844,0
111.3774,104.4717,0
91.9476,82.7756,0
90.6294,121.9766,0
285.457,304.4057,1
307.6773,273.1846,1
300.8725,323.5124,1
263.7415,294.2113,1
298.0895,285.2893,1
308.953,298.879,1
273.6362,314.9012,1
312.048,317.0252,1
325.9308,306.5204,1
302.1469,276.615,1
311.078,288.9883,1
291.8514,277.2338,1
282.5829,290.4398,1
323.1991,263.4277,1
273.7613,304.3083,1
325.9803,310.4129,1
265.801,254.6718,1
306.4331,286.7473,1
279.8438,317.5927,1
319.8322,302.8305,1
504.424,107.8185,2
528.6921,111.1425,2
509.3357,109.8593,2
471.7704,123.0712,2
517.1918,109.5332,2
464.4702,88.5938,2
515.1615,67.3981,2
496.6876,118.3515,2
476.3986,128.9819,2
509.9354,97.2975,2
505.8476,111.697,2
502.1671,120.6219,2
488.0922,92.5347,2
518.7503,100.4824,2
484.1516,117.0362,2
526.379,91.9931,2
475.1601,97.5745,2
497.3177,94.636,2
525.2859,81.5151,2
522.6906,77.1702,2
